year,Month,fullMonth,StartDate,EndDate,dist,Outfit,Civlian,Security Forces,Militants,Total,Injured
2010,9,September,9/5/10,9/5/10,Bandipora,NS,0,1,4,5,1
2010,9,September,9/5/10,9/5/10,Kupwara,NS,0,0,3,3,0
2010,8,August,8/30/10,8/30/10,Baramulla,NS,0,0,3,3,0
2010,8,August,8/29/10,8/29/10,Baramulla,NS,0,0,6,6,0
2010,8,August,8/15/10,8/15/10,Rajouri,LeT,0,1,2,3,3
2010,8,August,8/12/10,8/12/10,Bandipora,LeT,0,3,0,3,0
2010,8,August,8/10/10,8/10/10,Baramulla,NS,0,3,0,3,0
2010,7,July,7/20/10,7/20/10,Baramulla,LeT/HM,0,1,2,3,0
2010,7,July,7/2/10,7/3/10,Srinagar,NS,0,0,4,4,0
2010,6,June,6/28/10,6/28/10,Kupwara,NS,0,3,6,9,0
2010,5,May,5/19/10,5/19/10,Pulwama,NS,0,0,3,3,0
2010,5,May,5/11/10,5/11/10,Kupwara,NS,0,1,3,4,0
2010,5,May,5/7/10,5/7/10,Baramulla,NS,0,2,7,9,0
2010,4,April,4/2/10,4/2/10,Rajouri,NS,0,1,4,5,0
2010,4,April,4/1/10,4/1/10,Rajouri,NS,0,0,6,6,0
2010,3,March,3/30/10,3/30/10,Rajouri,NS,0,4,5,9,0
2010,3,March,3/27/10,3/27/10,Kupwara,NS,0,0,5,5,0
2010,3,March,3/16/10,3/16/10,Baramulla,NS,3,3,0,6,8
2010,3,March,3/4/10,3/4/10,Pulwama,HM,0,1,4,5,0
2010,2,February,2/23/10,2/23/10,Baramulla,NS,0,3,5,8,3
2010,2,February,2/4/10,2/4/10,Kishtwar,NS,0,12,3,15,0
2010,1,January,1/14/10,1/14/10,Kulgam,HM,0,1,2,3,0
2010,1,January,1/6/10,1/7/10,Srinagar,LeT,1,1,2,4,12
